2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:30,328 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:34,000 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:01:55,671 [pool-4-thread-16] INFO  o.b.asterisk.meetme.Application - MeetMe::appConnect - 6
2008-04-02 20:01:55,671 [pool-4-thread-16] INFO  o.b.asterisk.meetme.Application - MeetMe::roomConnect 6
2008-04-02 20:01:55,671 [pool-4-thread-16] INFO  o.b.asterisk.meetme.Application - MeetMe::roomJoin - 6
2008-04-02 20:01:56,468 [pool-4-thread-16] INFO  o.b.asterisk.meetme.Application - Received result Okay for setRoomNumber
2008-04-02 20:01:56,468 [pool-4-thread-16] DEBUG o.b.asterisk.meetme.MeetMeService - GetMeetmeUsers request for room[85115]
2008-04-02 20:01:56,468 [pool-4-thread-16] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:01:56,468 [pool-4-thread-16] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:01:56,468 [pool-4-thread-16] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:01:56,468 [pool-4-thread-16] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Sending 1 current users...
2008-04-02 20:02:08,968 [pool-4-thread-16] DEBUG o.b.asterisk.meetme.MeetMeService - MuteUnmuteAll request for room[85115]
2008-04-02 20:02:08,968 [pool-4-thread-16] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:02:08,968 [pool-4-thread-16] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:02:08,968 [pool-4-thread-16] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
